iter	Passed	Remaining
0	328	327840
1	330	164864
2	333	110938
3	337	84110
4	340	67691
5	342	56780
6	345	49061
7	348	43168
8	353	38893
9	355	35146
10	356	32026
11	357	29424
12	358	27228
13	359	25334
14	360	23700
15	362	22268
16	363	20996
17	364	19860
18	364	18843
19	367	17986
20	368	17158
21	369	16405
22	369	15716
23	370	15084
24	371	14502
25	373	13974
26	374	13479
27	375	13019
28	376	12590
29	377	12193
30	378	11818
31	378	11463
32	380	11140
33	381	10849
34	382	10555
35	383	10277
36	384	10013
37	385	9764
38	386	9527
39	387	9302
40	388	9088
41	389	8884
42	390	8690
43	391	8505
44	392	8328
45	393	8158
46	394	7995
47	396	7857
48	397	7708
49	398	7564
50	399	7429
51	402	7346
52	404	7229
53	406	7115
54	407	7001
55	408	6885
56	410	6790
57	411	6683
58	412	6579
59	413	6480
60	414	6380
61	415	6285
62	416	6193
63	417	6103
64	418	6015
65	419	5931
66	420	5849
67	421	5771
68	421	5693
69	422	5618
70	423	5545
71	425	5479
72	426	5411
73	427	5344
74	427	5278
75	428	5214
76	429	5151
77	430	5090
78	431	5031
79	432	4973
80	433	4917
81	434	4863
82	434	4804
83	435	4752
84	436	4701
85	438	4663
86	440	4619
87	441	4573
88	442	4528
89	443	4484
90	444	4440
91	445	4398
92	446	4357
93	447	4317
94	449	4277
95	450	4238
96	451	4198
97	452	4162
98	453	4129
99	454	4092
100	455	4056
101	456	4020
102	457	3984
103	458	3949
104	459	3915
105	460	3882
106	461	3848
107	462	3816
108	463	3784
109	463	3753
110	465	3724
111	466	3696
112	468	3676
113	469	3647
114	470	3618
115	471	3589
116	471	3560
117	472	3533
118	473	3506
119	474	3480
120	475	3455
121	476	3428
122	477	3403
123	478	3378
124	479	3355
125	480	3331
126	481	3306
127	483	3292
128	484	3269
129	485	3247
130	486	3224
131	487	3202
132	487	3181
133	488	3159
134	489	3138
135	490	3117
136	491	3097
137	492	3077
138	493	3057
139	494	3038
140	495	3018
141	496	2999
142	498	2984
143	499	2966
144	499	2947
145	500	2929
146	501	2911
147	502	2893
148	503	2875
149	504	2858
150	505	2841
151	506	2824
152	507	2808
153	508	2791
154	509	2775
155	510	2759
156	511	2748
157	513	2734
158	513	2718
159	514	2703
160	515	2686
161	516	2671
162	517	2656
163	518	2642
164	519	2627
165	520	2616
166	521	2603
167	522	2589
168	523	2576
169	524	2562
170	526	2552
171	527	2540
172	528	2527
173	529	2515
174	531	2503
175	532	2491
176	533	2479
177	534	2466
178	535	2454
179	536	2441
180	536	2429
181	537	2417
182	538	2405
183	539	2393
184	541	2386
185	542	2374
186	543	2363
187	544	2351
188	545	2340
189	546	2329
190	547	2318
191	548	2307
192	549	2296
193	550	2285
194	551	2274
195	551	2264
196	552	2253
197	553	2243
198	555	2234
