iter	Passed	Remaining
0	144	144288
1	149	74624
2	154	51436
3	157	39279
4	160	31902
5	164	27309
6	167	23751
7	170	21083
8	177	19537
9	180	17856
10	183	16501
11	185	15247
12	186	14169
13	189	13319
14	190	12521
15	192	11829
16	193	11215
17	195	10659
18	197	10171
19	198	9747
20	200	9344
21	201	8972
22	203	8632
23	204	8328
24	206	8039
25	207	7773
26	209	7534
27	210	7317
28	212	7104
29	213	6914
30	215	6736
31	217	6566
32	218	6411
33	220	6259
34	222	6125
35	223	5987
36	224	5854
37	226	5734
38	227	5615
39	229	5501
40	230	5398
41	232	5298
42	233	5203
43	235	5110
44	236	5020
45	237	4935
46	239	4856
47	240	4777
48	242	4701
49	243	4631
50	246	4579
51	247	4521
52	249	4465
53	252	4426
54	254	4380
55	256	4323
56	259	4293
57	263	4275
58	264	4225
59	266	4178
60	268	4126
61	269	4075
62	274	4083
63	276	4038
64	277	3991
65	278	3945
66	281	3913
67	281	3862
68	283	3822
69	284	3783
70	286	3743
71	287	3704
72	289	3680
73	291	3642
74	292	3605
75	294	3574
76	296	3558
77	298	3526
78	299	3494
79	301	3471
80	303	3438
81	304	3406
82	309	3417
83	310	3391
84	311	3358
85	313	3330
86	314	3299
87	315	3271
88	316	3243
89	320	3242
90	322	3221
91	323	3196
92	325	3171
93	327	3154
94	328	3131
95	330	3111
96	332	3096
97	334	3076
98	335	3053
99	337	3037
100	339	3017
101	339	2990
102	340	2969
103	345	2980
104	347	2960
105	348	2940
106	349	2920
107	351	2905
108	352	2885
109	354	2867
110	356	2857
111	358	2843
112	360	2829
113	361	2813
114	363	2801
115	365	2783
116	368	2778
117	372	2782
118	376	2784
119	377	2768
120	378	2752
121	380	2735
122	380	2715
123	382	2700
124	386	2702
125	387	2690
126	389	2675
127	390	2657
128	391	2643
129	392	2629
130	394	2614
131	395	2602
132	397	2593
133	399	2580
134	400	2566
135	402	2558
136	404	2545
137	405	2530
138	406	2518
139	409	2514
140	410	2503
141	412	2491
142	414	2481
143	415	2470
144	416	2457
145	418	2445
146	422	2453
147	424	2442
148	426	2433
149	428	2426
150	430	2419
151	436	2434
152	438	2424
153	439	2414
154	441	2406
155	443	2396
156	447	2401
157	448	2391
158	450	2380
159	451	2369
160	453	2363
161	455	2353
162	456	2344
163	461	2351
164	462	2342
165	464	2331
166	465	2322
167	467	2315
168	469	2307
169	473	2310
170	474	2301
171	476	2292
172	477	2283
173	479	2274
174	480	2266
175	482	2257
176	484	2251
177	485	2242
178	489	2243
179	491	2238
180	492	2227
181	494	2221
182	500	2234
183	502	2226
184	503	2217
185	504	2208
186	506	2201
187	507	2192
188	512	2200
189	514	2192
190	515	2184
191	517	2176
192	518	2168
193	520	2160
194	523	2159
195	525	2157
196	527	2151
197	529	2143
198	531	2137
199	532	2129
200	533	2122
201	536	2120
202	538	2113
203	539	2105
204	540	2097
205	542	2089
206	543	2081
207	547	2085
208	549	2080
209	551	2073
210	552	2065
211	554	2060
212	555	2052
213	556	2045
214	561	2048
215	562	2041
216	563	2034
217	565	2026
218	566	2020
219	567	2012
220	571	2014
221	574	2011
222	575	2004
223	576	1998
224	578	1992
225	580	1986
226	581	1979
227	584	1980
228	587	1977
229	588	1970
230	590	1964
231	592	1960
232	593	1953
233	594	1946
234	597	1944
235	598	1937
236	600	1931
237	601	1927
238	603	1922
239	604	1915
240	608	1915
241	610	1913
242	612	1906
243	613	1900
244	615	1896
245	616	1890
246	618	1884
247	623	1891
248	625	1887
249	627	1883
250	629	1877
251	630	1871
252	631	1864
253	636	1868
254	637	1862
255	638	1856
256	640	1852
257	642	1847
258	643	1841
259	644	1834
260	648	1835
261	649	1830
262	651	1824
263	652	1819
264	653	1813
265	655	1808
266	656	1802
267	660	1803
268	661	1798
269	663	1792
270	665	1789
271	666	1783
272	667	1778
273	669	1772
274	672	1772
275	674	1769
276	675	1764
277	677	1760
278	679	1756
279	680	1750
280	682	1745
281	684	1743
282	686	1739
283	688	1735
284	690	1731
285	691	1726
286	692	1720
287	694	1715
288	696	1713
289	697	1708
290	699	1703
291	700	1699
292	702	1694
293	703	1689
294	704	1684
295	709	1686
296	710	1681
297	712	1677
298	713	1673
299	715	1668
300	716	1664
301	717	1659
302	722	1662
303	724	1658
304	725	1653
305	727	1649
306	728	1645
307	730	1640
308	731	1635
309	735	1637
310	737	1633
311	738	1628
312	739	1623
313	741	1619
314	742	1614
315	743	1609
316	746	1608
317	748	1606
318	750	1601
319	751	1597
320	753	1593
321	755	1589
322	756	1585
323	757	1580
324	759	1577
325	760	1573
326	762	1569
327	763	1565
328	765	1561
329	766	1556
330	770	1556
331	771	1553
332	773	1549
333	774	1545
334	776	1541
335	777	1537
336	779	1533
337	782	1532
338	784	1529
339	785	1525
340	787	1521
341	788	1517
342	789	1513
343	791	1508
344	794	1508
345	796	1505
346	798	1501
347	799	1497
348	800	1493
349	802	1489
350	803	1485
351	804	1481
352	807	1480
353	808	1476
354	810	1472
355	812	1469
356	813	1465
357	814	1461
358	816	1457
359	820	1457
360	821	1454
361	822	1450
362	824	1447
363	826	1443
364	827	1439
365	828	1435
366	833	1437
367	834	1433
368	836	1429
369	838	1427
370	839	1423
371	840	1419
372	842	1415
373	847	1418
374	850	1417
375	852	1415
376	854	1412
377	861	1417
378	863	1415
379	866	1414
380	868	1410
381	872	1411
382	874	1408
383	875	1405
384	878	1402
385	879	1399
386	880	1395
387	886	1399
388	888	1395
389	891	1394
390	892	1390
391	894	1387
392	897	1386
393	900	1384
394	902	1381
395	904	1379
396	906	1376
397	909	1375
398	911	1373
399	917	1375
400	919	1373
401	920	1369
402	922	1366
403	923	1362
404	928	1363
405	929	1360
406	931	1357
407	933	1354
408	934	1350
409	936	1347
410	937	1343
411	940	1341
412	941	1338
413	943	1334
414	944	1331
415	946	1328
416	947	1324
417	951	1324
418	952	1321
419	954	1317
420	955	1314
421	957	1310
422	958	1307
423	959	1304
424	963	1303
425	965	1300
426	966	1297
427	968	1293
428	969	1290
429	970	1286
430	971	1283
431	975	1283
432	977	1280
433	979	1276
434	980	1273
435	982	1270
436	983	1267
437	984	1263
438	989	1263
439	990	1260
440	991	1257
441	993	1253
442	994	1250
443	995	1247
444	997	1243
445	1002	1244
446	1003	1241
447	1005	1238
448	1006	1235
449	1007	1231
450	1009	1228
451	1010	1224
452	1012	1222
453	1014	1219
454	1015	1216
455	1017	1213
456	1019	1210
457	1020	1207
458	1021	1203
459	1023	1201
460	1024	1198
461	1026	1195
462	1028	1192
463	1029	1189
464	1033	1189
465	1035	1186
466	1036	1182
467	1037	1179
468	1039	1176
469	1040	1173
470	1041	1170
471	1045	1169
472	1047	1166
473	1048	1163
474	1050	1160
475	1051	1157
476	1053	1154
477	1054	1151
478	1058	1151
479	1060	1148
480	1061	1145
481	1062	1142
482	1064	1139
483	1065	1135
484	1066	1132
485	1072	1134
486	1073	1131
487	1075	1128
488	1076	1125
489	1078	1122
490	1079	1119
491	1083	1118
492	1085	1116
493	1087	1113
494	1088	1110
495	1089	1107
496	1091	1104
497	1092	1101
498	1095	1100
499	1098	1098
500	1100	1095
501	1101	1092
502	1103	1090
503	1104	1086
504	1105	1084
505	1109	1083
506	1111	1081
507	1113	1077
508	1114	1074
509	1115	1072
510	1117	1068
511	1118	1065
512	1122	1065
513	1124	1062
514	1125	1059
515	1127	1057
516	1128	1054
517	1129	1051
518	1131	1048
519	1135	1048
520	1137	1045
521	1138	1042
522	1140	1040
523	1142	1037
524	1143	1034
525	1144	1031
526	1146	1029
527	1148	1026
528	1149	1023
529	1151	1021
530	1152	1018
531	1154	1015
532	1157	1014
533	1160	1012
534	1161	1009
535	1162	1006
536	1164	1003
537	1165	1000
538	1166	997
539	1172	998
540	1174	996
541	1175	993
542	1177	991
543	1179	988
544	1180	985
545	1186	986
546	1188	983
547	1189	981
548	1191	978
549	1192	975
550	1193	972
551	1197	972
552	1199	969
553	1200	966
554	1202	963
555	1203	961
556	1204	958
557	1205	955
558	1209	954
559	1211	952
560	1212	949
561	1214	946
562	1215	943
563	1217	940
564	1218	937
565	1222	937
566	1223	934
567	1225	931
568	1226	929
569	1228	926
570	1229	923
571	1230	920
572	1234	919
573	1236	917
574	1237	914
575	1238	911
576	1240	909
577	1241	906
578	1242	903
579	1246	902
580	1247	900
581	1249	897
582	1250	894
583	1252	891
584	1253	889
585	1254	886
586	1260	887
587	1262	884
588	1263	881
589	1265	879
590	1266	876
591	1267	873
592	1271	872
593	1273	870
594	1274	867
595	1275	864
596	1277	862
597	1278	859
598	1279	856
599	1282	855
600	1285	853
601	1286	850
602	1287	847
603	1288	845
604	1290	842
605	1291	839
606	1292	837
607	1296	836
608	1298	833
609	1299	831
610	1301	828
611	1303	826
612	1304	823
613	1306	821
614	1308	819
615	1310	816
616	1311	814
617	1312	811
618	1314	808
619	1315	806
620	1316	803
621	1321	802
622	1322	800
623	1323	797
624	1325	795
625	1326	792
626	1327	789
627	1328	787
628	1334	786
629	1335	784
630	1337	782
631	1340	780
632	1342	778
633	1344	775
634	1346	774
635	1348	771
636	1349	768
637	1350	766
638	1352	763
639	1353	761
640	1354	758
641	1357	756
642	1359	754
643	1360	752
644	1362	749
645	1363	747
646	1364	744
647	1366	742
648	1367	739
649	1370	738
650	1373	736
651	1374	733
652	1375	731
653	1377	728
654	1378	725
655	1379	723
656	1381	720
657	1383	719
658	1385	716
659	1386	714
660	1387	711
661	1389	709
662	1390	706
663	1391	704
664	1393	701
665	1396	700
666	1398	698
667	1399	695
668	1400	693
669	1402	690
670	1403	688
671	1404	685
672	1406	683
673	1409	681
674	1410	679
675	1412	676
676	1413	674
677	1414	671
678	1417	670
679	1419	667
680	1420	665
681	1422	663
682	1423	660
683	1424	658
684	1425	655
685	1427	653
686	1429	651
687	1431	649
688	1432	646
689	1434	644
690	1436	642
691	1437	639
692	1438	637
693	1444	636
694	1445	634
695	1446	631
696	1448	629
697	1449	627
698	1450	624
699	1452	622
700	1493	636
701	1495	634
702	1517	641
703	1519	638
704	1520	636
705	1521	633
706	1538	637
707	1540	635
708	1542	633
709	1544	631
710	1546	628
711	1547	626
712	1548	623
713	1550	621
714	1551	618
715	1553	615
716	1554	613
717	1556	611
718	1557	608
719	1560	606
720	1561	604
721	1566	603
722	1568	601
723	1570	598
724	1571	596
725	1572	593
726	1574	591
727	1575	588
728	1578	586
729	1580	584
730	1582	582
731	1584	580
732	1585	577
733	1587	575
734	1588	572
735	1592	571
736	1594	569
737	1596	566
738	1598	564
739	1599	561
740	1601	559
741	1602	557
742	1606	555
743	1608	553
744	1610	551
745	1611	548
746	1613	546
747	1614	543
748	1619	542
749	1621	540
750	1623	538
751	1624	535
752	1626	533
753	1627	531
754	1628	528
755	1633	527
756	1636	525
757	1638	523
758	1640	520
759	1641	518
760	1642	515
761	1645	513
762	1646	511
763	1647	509
764	1649	506
765	1650	504
766	1652	501
767	1653	499
768	1660	498
769	1661	496
770	1663	493
771	1666	492
772	1668	489
773	1669	487
774	1672	485
775	1673	483
776	1675	480
777	1676	478
778	1679	476
779	1680	473
780	1682	471
781	1683	469
782	1684	466
783	1686	464
784	1688	462
785	1690	460
786	1691	457
787	1692	455
788	1694	453
789	1695	450
790	1697	448
791	1701	446
792	1703	444
793	1704	442
794	1706	439
795	1707	437
796	1709	435
797	1710	432
798	1715	431
799	1718	429
800	1719	427
801	1721	424
802	1722	422
803	1723	420
804	1728	418
805	1729	416
806	1731	413
807	1732	411
808	1734	409
809	1735	407
810	1736	404
811	1737	402
812	1740	400
813	1742	398
814	1743	395
815	1744	393
816	1746	391
817	1747	388
818	1748	386
819	1750	384
820	1752	382
821	1753	379
822	1754	377
823	1756	375
824	1758	372
825	1759	370
826	1760	368
827	1765	366
828	1767	364
829	1768	362
830	1769	359
831	1771	357
832	1772	355
833	1774	353
834	1778	351
835	1779	349
836	1781	346
837	1782	344
838	1783	342
839	1784	339
840	1786	337
841	1787	335
842	1789	333
843	1791	331
844	1792	328
845	1793	326
846	1795	324
847	1796	322
848	1798	319
849	1802	318
850	1803	315
851	1805	313
852	1806	311
853	1808	309
854	1809	306
855	1811	304
856	1815	302
857	1817	300
858	1818	298
859	1820	296
860	1821	294
861	1823	291
862	1824	289
863	1828	287
864	1830	285
865	1831	283
866	1832	281
867	1834	278
868	1835	276
869	1836	274
870	1842	272
871	1843	270
872	1844	268
873	1846	266
874	1847	263
875	1848	261
876	1850	259
877	1854	257
878	1855	255
879	1857	253
880	1858	251
881	1860	248
882	1861	246
883	1862	244
884	1864	242
885	1865	240
886	1867	237
887	1868	235
888	1870	233
889	1871	231
890	1872	229
891	1874	226
892	1876	224
893	1877	222
894	1879	220
895	1881	218
896	1882	216
897	1883	213
898	1885	211
899	1888	209
900	1889	207
901	1891	205
902	1893	203
903	1894	201
904	1895	198
905	1897	196
906	1898	194
907	1903	192
908	1904	190
909	1905	188
910	1907	186
911	1909	184
912	1910	182
913	1911	179
914	1915	177
915	1917	175
916	1918	173
917	1919	171
918	1921	169
919	1922	167
920	1923	165
921	1925	162
922	1929	160
923	1930	158
924	1931	156
925	1933	154
926	1934	152
927	1935	150
928	1937	148
929	1938	145
930	1942	143
931	1943	141
932	1945	139
933	1946	137
934	1947	135
935	1948	133
936	1950	131
937	1951	128
938	1953	126
939	1956	124
940	1957	122
941	1958	120
942	1960	118
943	1961	116
944	1962	114
945	1964	112
946	1968	110
947	1970	108
948	1972	106
949	1973	103
950	1975	101
951	1976	99
952	1977	97
953	1981	95
954	1982	93
955	1983	91
956	1985	89
957	1986	87
958	1987	84
959	1988	82
960	1990	80
961	1993	78
962	1994	76
963	1995	74
964	1997	72
965	1998	70
966	1999	68
967	2000	66
968	2002	64
969	2003	61
970	2006	59
971	2007	57
972	2008	55
973	2010	53
974	2011	51
975	2012	49
976	2014	47
977	2015	45
978	2017	43
979	2018	41
980	2019	39
981	2021	37
982	2022	34
983	2023	32
984	2025	30
985	2026	28
986	2029	26
987	2030	24
988	2031	22
989	2033	20
990	2034	18
991	2035	16
992	2037	14
993	2038	12
994	2041	10
995	2043	8
996	2044	6
997	2045	4
998	2046	2
999	2048	0
